"Discount code <strong>%1</strong> couldn't be applied: %2","Discount code <strong>%1</strong> couldn't be applied: %2"
"Discount code <strong>%1</strong> couldn't be applied or is invalid","Discount code <strong>%1</strong> couldn't be applied or is invalid"
"Discount code <strong>%1</strong> is invalid. Verify that it's correct and try again.","Discount code <strong>%1</strong> is invalid. Verify that it's correct and try again."
"Discount code <strong>%1</strong> will be applied to your order during checkout","Kortingscode %1 zal tijdens het afrekenen worden toegepast op jouw order"
