"Discount code <strong>%1</strong> couldn't be applied: %2","<strong>%1</strong> kupon kodu uygulanamadı. Hata : %2"
"Discount code <strong>%1</strong> couldn't be applied or is invalid","<strong>%1</strong> uygulanamadı. Kodunuz hatalı olabilir."
"Discount code <strong>%1</strong> is invalid. Verify that it's correct and try again.","Discount code <strong>%1</strong> is invalid. Verify that it's correct and try again."
